habitaciones;baÒos;parqueaderos;area_construida_m2;area_privada_m2;estrato;estado;antig¸edad_aÒos;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Porteria/ Recepcion;Zonas Verdes;Salon Comunal;Balcon;Barra estilo americano;Calentador;Chimenea;Citofono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Deposito / Bodega;nombre;ubicacion;precio
2;2;1;92;92;4;No definida;9 a 15  ;†622.000 COP;†6.521.739,13  ;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;Apartamento;Centro Internacional;600000000
1;2;1;56;56;6;No definida;1 a 8  ;†523.000 COP;†8.392.857,14  ;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;Apartamento;Calleja Baja;470000000
3;4;2;144;144;6;No definida;16 a 30  ;†620.000 COP;†6.597.222,22  ;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;Cerros de Suba;950000000
1;1;0;31;31;4;Excelente;menor a 1 ;†130.000 COP;†7.419.354,84  ;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazuren;230000000
3;2;1;52;52;4;No definida;1 a 8  ;†219.000 COP;†5.576.923,08  ;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;El plan;290000000
3;3;1;150;150;6;Bueno;mas de 30  ;†872.000 COP;†6.533.333,33  ;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000
3;2;1;110;100;3;No definida;16 a 30  ;†135.000 COP;†4.181.818,18  ;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;Apartamento;Ciudad jardin sur;460000000
3;2;0;53;47;3;No definida;9 a 15  ;†125.000 COP;†3.207.547,17  ;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Ub. industrial las delicias;170000000
3;3;1;111;0;4;Excelente;16 a 30  ;No definida;†3.873.873,87  ;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Casa;Pradera Norte;430000000
4;4;2;264;264;5;Bueno;mas de 30  ;†836.000 COP;†5.303.030,3  ;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;Apartamento;Nicolas de Federman;1400000000
3;2;2;97;0;4;No definida;9 a 15  ;†272.000 COP;†6.175.257,73  ;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Pontevedra;599000000
2;3;2;87;82;4;No definida;9 a 15  ;†350.000 COP;†4.712.643,68  ;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Los cedros oriental;410000000
3;4;2;175;175;4;No definida;16 a 30  ;No definida;†4.285.714,29  ;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;Casa;Cedro Golf;750000000
10;5;2;391;0;3;No definida;16 a 30  ;No definida;†1.994.884,91  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Sosiego sur;780000000
6;4;3;218;0;4;Bueno;mas de 30  ;No definida;†3.027.522,94  ;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normandia;660000000
1;2;1;50;0;5;Bueno;9 a 15  ;†310.000 COP;†6.800.000  ;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;Apartamento;Contador;340000000
3;3;1;140;140;4;Bueno;mas de 30  ;†460.000 COP;†5.071.428,57  ;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;0;0;Apartamento;Quinta Paredes;710000000
4;3;1;90;0;4;Bueno;mas de 30  ;†369.000 COP;†4.000.000  ;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000
2;3;2;111;111;6;Bueno;9 a 15  ;†786.000 COP;†11.261.261,26  ;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;La Cabrera;1250000000
12;5;0;375;320;3;Bueno;16 a 30  ;No definida;†1.493.333,33  ;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000
2;3;2;111;73;4;No definida;16 a 30  ;†483.000 COP;†3.423.423,42  ;1;0;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Cedro Golf;380000000
4;4;2;307;307;3;No definida;mas de 30  ;No definida;†2.931.596,09  ;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;Casa;Provivienda norte;900000000
3;2;0;61;0;3;No definida;16 a 30  ;†130.000 COP;†2.622.950,82  ;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;Apartamento;Suba Salitre;160000000
2;3;4;322;277;6;No definida;1 a 8  ;†2.304.000 COP;†9.000.000  ;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Los Rosales;2898000000
5;5;4;280;280;6;No definida;16 a 30  ;†2.200.000 COP;†7.142.857,14  ;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;La carolina;2000000000
3;2;1;59;54;4;Bueno;16 a 30  ;†150.000 COP;†4.220.338,98  ;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Colina Campestre;249000000
3;3;2;146;133;5;Excelente;16 a 30  ;†660.000 COP;†5.410.958,9  ;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;Apartamento;Santa Ana Occidental;790000000
2;2;1;75;75;4;Excelente;16 a 30  ;†316.000 COP;†4.200.000  ;0;0;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;Apartamento;Mazuren;315000000
2;2;2;56;0;4;Excelente;1 a 8  ;†266.200 COP;†6.428.571,43  ;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Apartamento;Cedritos;360000000
3;2;2;87;0;5;No definida;1 a 8  ;†390.000 COP;†5.965.517,24  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Colina Campestre;519000000
3;2;1;59;59;3;Excelente;menor a 1 ;†80.000 COP;†4.830.508,47  ;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;La granja;285000000
2;1;1;55;88;4;No definida;16 a 30  ;†159.000 COP;†5.436.363,64  ;0;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;Apartamento;Belmira;299000000
3;3;1;112;112;4;Excelente;mas de 30  ;†638.000 COP;†4.017.857,14  ;1;0;1;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Puente Largo;450000000
3;2;1;100;100;5;Bueno;16 a 30  ;†440.000 COP;†5.000.000  ;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;Apartamento;Colina Campestre;500000000
1;2;1;72;72;5;No definida;mas de 30  ;†140.000 COP;†5.541.666,67  ;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;Casa;La Calleja;399000000
4;3;1;102;102;5;Bueno;mas de 30  ;†620.000 COP;†5.098.039,22  ;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;Alhambra;520000000
3;2;1;80;72;5;Excelente;1 a 8  ;†357.000 COP;†6.489.454,64  ;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;Apartamento;Colina Campestre;520000000
2;1;0;52;52;3;No definida;16 a 30  ;†70.000 COP;†4.134.615,38  ;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Galerias;215000000
3;2;2;136;136;6;No definida;16 a 30  ;†933.000 COP;†5.882.352,94  ;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;San Patricio;800000000
